From	Usage	To	Weight	 	 
.chart.HashUtilities	uses	.util.AbstractObjectList	3		
.chart.HashUtilities	uses	.util.PaintList	2		
.chart.HashUtilities	uses	.util.BooleanList	2		
.chart.JFreeChart	implements	.ui.Drawable	1		
.chart.JFreeChart	implements	.chart.event.TitleChangeListener	8		
.chart.JFreeChart	implements	.chart.event.PlotChangeListener	4		
.chart.JFreeChart	contains	.ui.about.ProjectInfo	3		
.chart.JFreeChart	contains	.ui.RectangleInsets	9		
.chart.JFreeChart	contains	.chart.title.TextTitle	11		
.chart.JFreeChart	contains	.chart.plot.Plot	13		
.chart.JFreeChart	uses	.chart.block.BlockFrame	1		
.chart.JFreeChart	uses	.ui.RectangleEdge	7		
.chart.JFreeChart	uses	.chart.title.LegendTitle	7		
.chart.JFreeChart	uses	.chart.block.LineBorder	2		
.chart.JFreeChart	uses	.chart.LegendItemSource	1		
.chart.JFreeChart	uses	.chart.title.Title	27		
.chart.JFreeChart	uses	.chart.block.AbstractBlock	3		
.chart.JFreeChart	uses	.chart.event.ChartChangeEvent	13		
.chart.JFreeChart	uses	.chart.event.ChartChangeListener	4		
.chart.JFreeChart	uses	.chart.ChartRenderingInfo	13		
.chart.JFreeChart	uses	.chart.event.ChartProgressListener	4		
.chart.JFreeChart	uses	.chart.event.TitleChangeEvent	1		
.chart.JFreeChart	uses	.chart.event.ChartProgressEvent	3	(mfs)	
.chart.JFreeChart	uses	.chart.entity.EntityCollection	4		
.chart.JFreeChart	uses	.chart.block.BlockParams	3		
.chart.JFreeChart	uses	.chart.block.RectangleConstraint	2		
.chart.JFreeChart	uses	.chart.block.LengthConstraintType	2		
.chart.JFreeChart	uses	.ui.Size2D	6		
.chart.JFreeChart	uses	.chart.block.EntityBlockResult	2		
.chart.JFreeChart	uses	.ui.VerticalAlignment	7		
.chart.JFreeChart	uses	.ui.HorizontalAlignment	7		
.chart.JFreeChart	uses	.data.Range	2		
.chart.JFreeChart	uses	.chart.block.Block	1		
.chart.JFreeChart	uses	.chart.plot.PlotRenderingInfo	2		
.chart.JFreeChart	uses	.chart.JFreeChartInfo	2		
.chart.JFreeChart	uses	.chart.plot.CategoryPlot	1		
.chart.JFreeChart	uses	.chart.plot.XYPlot	1		
.chart.JFreeChart	uses	.ui.Align	1		
.chart.JFreeChart	uses	.chart.entity.JFreeChartEntity	2	(mfs)	
.chart.JFreeChart	uses	.chart.entity.ChartEntity	1		
.chart.JFreeChart	uses	.chart.plot.PlotState	1		
.chart.JFreeChart	uses	.util.PaintUtilities	1		
.chart.JFreeChart	uses	.util.ObjectUtilities	1		
.chart.JFreeChart	uses	.io.SerialUtilities	4		
.chart.JFreeChart	uses	.chart.event.PlotChangeEvent	1		
.chart.JFreeChartInfo	extends	.ui.about.ProjectInfo	7		
.chart.JFreeChartInfo	uses	.ui.about.Licences	3		
.chart.JFreeChartInfo	uses	.ui.about.Contributor	2		
.chart.JFreeChartInfo	uses	.JCommon	1		
.chart.JFreeChartInfo	uses	.chart.util.ResourceBundleWrapper	1		
.chart.JFreeChartInfo	uses	.base.Library	1		
.chart.JFreeChartInfo	uses	.base.BasicProjectInfo	6		
.chart.LegendItem	contains	.data.general.Dataset	4		
.chart.LegendItem	contains	.ui.GradientPaintTransformer	5		
